,status_of_existing_checking_account,duration_in_month,credit_history,purpose,credit_amount,savings_account/bonds,present_employment_since,installment_rate_in_percentage_of_disposable_income,personal_status_and_sex,sex,other_debtors/guarantors,present_residence_since,property,age_in_years,other_installment_plans,housing,number_of_existing_credits_at_this_bank,job,number_of_people_being_liable_to_provide_maintenance_for,telephone,foreign_worker,credit_risk
172,2,24,delay_in_paying_off_in_the_past,furniture/equipment,2064,1,0,3,female_divorced/separated/married,female,none,2,building_society_savings_agreement/life_insurance,34,none,own,1,3,1,1,1,0
173,2,8,existing_credits_paid_back_duly_till_now,radio/television,1414,1,2,4,male_single,male,guarantor,2,real_estate,33,none,own,1,2,1,0,0,1
174,1,21,delay_in_paying_off_in_the_past,education,3414,1,1,2,male_single,male,none,1,building_society_savings_agreement/life_insurance,26,none,own,2,2,1,0,1,0
175,0,30,all_credits_at_this_bank_paid_back_duly,car_(used),7485,0,0,4,female_divorced/separated/married,female,none,1,real_estate,53,bank,own,1,3,1,1,1,0
176,1,12,existing_credits_paid_back_duly_till_now,furniture/equipment,2577,1,2,2,male_divorced/separated,male,none,1,car_or_other,42,none,own,1,2,1,0,1,1
177,1,6,critical_account/other_credits_existing_not_at_this_bank,radio/television,338,3,4,4,male_single,male,none,4,car_or_other,52,none,own,2,2,1,0,1,1
178,0,12,existing_credits_paid_back_duly_till_now,radio/television,1963,1,3,4,male_single,male,none,2,car_or_other,31,none,rent,2,3,2,1,1,1
179,1,21,critical_account/other_credits_existing_not_at_this_bank,car_(new),571,1,4,4,male_single,male,none,4,real_estate,65,none,own,2,2,1,0,1,1
180,0,36,delay_in_paying_off_in_the_past,business,9572,1,1,1,male_divorced/separated,male,none,1,car_or_other,28,none,own,2,2,1,0,1,0
181,2,36,delay_in_paying_off_in_the_past,business,4455,1,2,2,male_divorced/separated,male,none,2,real_estate,30,stores,own,2,3,1,1,1,0
182,1,21,all_credits_at_this_bank_paid_back_duly,car_(new),1647,0,2,4,male_single,male,none,2,building_society_savings_agreement/life_insurance,40,none,own,2,1,2,0,1,0
183,0,24,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,3777,4,2,4,male_single,male,none,4,real_estate,50,none,own,1,2,1,1,1,1
184,2,18,critical_account/other_credits_existing_not_at_this_bank,car_(new),884,1,4,4,male_single,male,none,4,car_or_other,36,bank,own,1,2,2,1,1,0
185,0,15,critical_account/other_credits_existing_not_at_this_bank,radio/television,1360,1,2,4,male_single,male,none,2,building_society_savings_agreement/life_insurance,31,none,own,2,2,1,0,1,1
186,2,9,all_credits_at_this_bank_paid_back_duly,car_(used),5129,1,4,2,female_divorced/separated/married,female,none,4,unknown/no_property,74,bank,for free,1,3,2,1,1,0
187,2,16,critical_account/other_credits_existing_not_at_this_bank,car_(new),1175,1,0,2,male_single,male,none,3,car_or_other,68,none,for free,3,0,1,1,1,1
188,1,12,existing_credits_paid_back_duly_till_now,radio/television,674,2,3,4,male_married/widowed,male,none,1,building_society_savings_agreement/life_insurance,20,none,own,1,2,1,0,1,0
189,2,18,no_credits_taken/all_credits_paid_back_duly,furniture/equipment,3244,1,2,1,female_divorced/separated/married,female,none,4,car_or_other,33,bank,own,2,2,1,1,1,1
190,0,24,existing_credits_paid_back_duly_till_now,business,4591,4,2,2,male_single,male,none,3,building_society_savings_agreement/life_insurance,54,none,own,3,3,1,1,1,0
191,2,48,no_credits_taken/all_credits_paid_back_duly,business,3844,2,3,4,male_single,male,none,4,unknown/no_property,34,none,for free,1,1,2,0,1,0
192,2,27,existing_credits_paid_back_duly_till_now,business,3915,1,2,4,male_single,male,none,2,car_or_other,36,none,own,1,2,2,1,1,0
193,0,6,existing_credits_paid_back_duly_till_now,radio/television,2108,1,3,2,male_married/widowed,male,none,2,real_estate,29,none,rent,1,2,1,0,1,1
194,2,45,existing_credits_paid_back_duly_till_now,radio/television,3031,2,2,4,male_single,male,guarantor,4,building_society_savings_agreement/life_insurance,21,none,rent,1,2,1,0,1,0
195,2,9,critical_account/other_credits_existing_not_at_this_bank,education,1501,1,4,2,female_divorced/separated/married,female,none,3,car_or_other,34,none,own,2,3,1,1,1,0
196,0,6,critical_account/other_credits_existing_not_at_this_bank,radio/television,1382,1,2,1,female_divorced/separated/married,female,none,1,car_or_other,28,none,own,2,2,1,1,1,1
197,2,12,existing_credits_paid_back_duly_till_now,furniture/equipment,951,2,1,4,female_divorced/separated/married,female,none,4,car_or_other,27,bank,rent,4,2,1,0,1,0
198,2,24,existing_credits_paid_back_duly_till_now,car_(used),2760,0,4,4,male_single,male,none,4,unknown/no_property,36,bank,for free,1,2,1,1,1,1
199,2,18,delay_in_paying_off_in_the_past,furniture/equipment,4297,1,4,4,male_divorced/separated,male,none,3,unknown/no_property,40,none,own,1,3,1,1,1,0
200,0,9,critical_account/other_credits_existing_not_at_this_bank,education,936,3,4,4,male_single,male,none,2,car_or_other,52,none,own,2,2,1,1,1,1
201,1,12,existing_credits_paid_back_duly_till_now,car_(new),1168,1,2,4,male_married/widowed,male,none,3,real_estate,27,none,own,1,1,1,0,1,1
202,0,27,delay_in_paying_off_in_the_past,business,5117,1,3,3,male_single,male,none,4,car_or_other,26,none,own,2,2,1,0,1,1
203,1,12,existing_credits_paid_back_duly_till_now,retraining,902,1,3,4,male_married/widowed,male,none,4,building_society_savings_agreement/life_insurance,21,none,rent,1,2,1,0,1,0
204,0,12,critical_account/other_credits_existing_not_at_this_bank,car_(new),1495,1,4,4,male_single,male,none,1,real_estate,38,none,own,2,1,2,0,1,1
205,1,30,critical_account/other_credits_existing_not_at_this_bank,car_(used),10623,1,4,3,male_single,male,none,4,unknown/no_property,38,none,for free,3,3,2,1,1,1
206,0,12,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,1935,1,4,4,male_single,male,none,4,real_estate,43,none,own,3,2,1,1,1,1
207,2,12,critical_account/other_credits_existing_not_at_this_bank,domestic_appliances,1424,1,3,4,male_single,male,none,3,building_society_savings_agreement/life_insurance,26,none,own,1,2,1,0,1,1
208,1,24,existing_credits_paid_back_duly_till_now,business,6568,1,2,2,male_married/widowed,male,none,2,car_or_other,21,stores,own,1,1,1,0,1,1
209,0,12,existing_credits_paid_back_duly_till_now,car_(used),1413,4,3,3,male_single,male,none,2,building_society_savings_agreement/life_insurance,55,none,own,1,2,1,0,0,1
210,0,9,critical_account/other_credits_existing_not_at_this_bank,radio/television,3074,0,2,1,male_single,male,none,2,real_estate,33,none,own,2,2,2,0,1,1
211,0,36,existing_credits_paid_back_duly_till_now,radio/television,3835,0,4,2,female_divorced/separated/married,female,none,4,real_estate,45,none,own,1,1,1,1,1,1
212,1,27,no_credits_taken/all_credits_paid_back_duly,business,5293,1,0,2,male_single,male,none,4,building_society_savings_agreement/life_insurance,50,stores,own,2,2,1,1,1,0
213,3,30,delay_in_paying_off_in_the_past,business,1908,1,4,4,male_single,male,none,4,real_estate,66,none,own,1,3,1,1,1,0
214,0,36,critical_account/other_credits_existing_not_at_this_bank,radio/television,3342,0,4,4,male_single,male,none,2,car_or_other,51,none,own,1,2,1,1,1,1
215,2,6,critical_account/other_credits_existing_not_at_this_bank,retraining,932,0,3,1,female_divorced/separated/married,female,none,3,building_society_savings_agreement/life_insurance,39,none,own,2,1,1,0,1,1
216,1,18,no_credits_taken/all_credits_paid_back_duly,business,3104,1,3,3,male_single,male,none,1,building_society_savings_agreement/life_insurance,31,bank,own,1,2,1,1,1,1
217,3,36,existing_credits_paid_back_duly_till_now,radio/television,3913,1,2,2,male_single,male,none,2,real_estate,23,none,own,1,2,1,1,1,1
218,1,24,existing_credits_paid_back_duly_till_now,furniture/equipment,3021,1,2,2,male_divorced/separated,male,none,2,real_estate,24,none,rent,1,1,1,0,1,1
219,0,10,existing_credits_paid_back_duly_till_now,car_(new),1364,1,2,2,female_divorced/separated/married,female,none,4,car_or_other,64,none,own,1,2,1,1,1,1
220,2,12,existing_credits_paid_back_duly_till_now,radio/television,625,1,1,4,male_married/widowed,male,guarantor,1,real_estate,26,bank,own,1,1,1,0,1,1
221,1,12,existing_credits_paid_back_duly_till_now,education,1200,0,2,4,female_divorced/separated/married,female,none,4,building_society_savings_agreement/life_insurance,23,bank,rent,1,2,1,1,1,1
222,0,12,existing_credits_paid_back_duly_till_now,radio/television,707,1,2,4,male_single,male,none,2,real_estate,30,bank,own,2,2,1,0,1,1
223,0,24,delay_in_paying_off_in_the_past,business,2978,0,2,4,male_single,male,none,4,real_estate,32,none,own,2,2,2,1,1,1
224,0,15,existing_credits_paid_back_duly_till_now,car_(used),4657,1,2,3,male_single,male,none,2,car_or_other,30,none,own,1,2,1,1,1,1
225,0,36,no_credits_taken/all_credits_paid_back_duly,repairs,2613,1,2,4,male_single,male,none,2,car_or_other,27,none,own,2,2,1,0,1,1
226,2,48,existing_credits_paid_back_duly_till_now,radio/television,10961,4,3,1,male_single,male,co-applicant,2,unknown/no_property,27,bank,own,2,2,1,1,1,0
227,1,12,existing_credits_paid_back_duly_till_now,furniture/equipment,7865,1,4,4,male_single,male,none,4,unknown/no_property,53,none,for free,1,3,1,1,1,0
228,0,9,existing_credits_paid_back_duly_till_now,radio/television,1478,1,3,4,male_single,male,none,2,car_or_other,22,none,own,1,2,1,0,1,0
229,1,24,existing_credits_paid_back_duly_till_now,furniture/equipment,3149,1,1,4,male_single,male,none,1,unknown/no_property,22,bank,for free,1,2,1,0,1,1
230,3,36,existing_credits_paid_back_duly_till_now,radio/television,4210,1,2,4,male_single,male,none,2,car_or_other,26,none,own,1,2,1,0,1,0
231,0,9,existing_credits_paid_back_duly_till_now,car_(new),2507,3,4,2,male_single,male,none,4,unknown/no_property,51,none,for free,1,1,1,0,1,1
232,0,12,existing_credits_paid_back_duly_till_now,radio/television,2141,2,3,3,male_single,male,none,1,unknown/no_property,35,none,own,1,2,1,0,1,1
233,2,18,existing_credits_paid_back_duly_till_now,radio/television,866,1,2,4,male_married/widowed,male,guarantor,2,real_estate,25,none,own,1,1,1,0,1,1
234,0,4,critical_account/other_credits_existing_not_at_this_bank,radio/television,1544,1,3,2,male_single,male,none,1,real_estate,42,none,own,3,1,2,0,1,1
235,1,24,existing_credits_paid_back_duly_till_now,radio/television,1823,1,0,4,male_single,male,none,2,car_or_other,30,stores,own,1,3,2,0,1,0
236,2,6,existing_credits_paid_back_duly_till_now,car_(new),14555,0,0,1,male_single,male,none,2,building_society_savings_agreement/life_insurance,23,none,own,1,0,1,1,1,0
237,2,21,existing_credits_paid_back_duly_till_now,business,2767,2,4,4,male_divorced/separated,male,none,2,car_or_other,61,bank,rent,2,1,1,0,1,0
238,0,12,critical_account/other_credits_existing_not_at_this_bank,radio/television,1291,1,2,4,female_divorced/separated/married,female,none,2,building_society_savings_agreement/life_insurance,35,none,own,2,2,1,0,1,1
239,1,30,existing_credits_paid_back_duly_till_now,radio/television,2522,1,4,1,male_single,male,guarantor,3,building_society_savings_agreement/life_insurance,39,none,own,1,2,2,0,1,1
240,1,24,existing_credits_paid_back_duly_till_now,car_(new),915,0,4,4,female_divorced/separated/married,female,none,2,car_or_other,29,bank,own,1,2,1,0,1,0
241,0,6,existing_credits_paid_back_duly_till_now,radio/television,1595,1,3,3,male_single,male,none,2,building_society_savings_agreement/life_insurance,51,none,own,1,2,2,0,1,1
242,1,48,no_credits_taken/all_credits_paid_back_duly,car_(used),4605,1,4,3,male_single,male,none,4,unknown/no_property,24,none,for free,2,2,2,0,1,0
243,0,12,critical_account/other_credits_existing_not_at_this_bank,business,1185,1,2,3,female_divorced/separated/married,female,none,2,real_estate,27,none,own,2,2,1,0,1,1
244,0,12,all_credits_at_this_bank_paid_back_duly,retraining,3447,3,2,4,female_divorced/separated/married,female,none,3,real_estate,35,none,own,1,1,2,0,1,1
245,0,24,existing_credits_paid_back_duly_till_now,business,1258,1,3,4,male_single,male,none,1,real_estate,25,none,own,1,2,1,1,1,1
246,0,12,critical_account/other_credits_existing_not_at_this_bank,radio/television,717,1,4,4,male_single,male,none,4,real_estate,52,none,own,3,2,1,0,1,1
247,0,6,no_credits_taken/all_credits_paid_back_duly,car_(new),1204,2,2,4,male_single,male,none,1,unknown/no_property,35,bank,rent,1,2,1,0,0,1
248,3,24,existing_credits_paid_back_duly_till_now,furniture/equipment,1925,1,2,2,male_single,male,none,2,real_estate,26,none,own,1,2,1,0,1,1
249,0,18,existing_credits_paid_back_duly_till_now,radio/television,433,1,0,3,female_divorced/separated/married,female,co-applicant,4,real_estate,22,none,rent,1,2,1,0,1,0
250,1,6,critical_account/other_credits_existing_not_at_this_bank,car_(new),666,4,3,3,female_divorced/separated/married,female,none,4,real_estate,39,none,own,2,1,1,1,1,1
251,3,12,existing_credits_paid_back_duly_till_now,furniture/equipment,2251,1,2,1,female_divorced/separated/married,female,none,2,car_or_other,46,none,own,1,1,1,0,1,1
252,2,30,existing_credits_paid_back_duly_till_now,car_(new),2150,1,2,4,female_divorced/separated/married,female,guarantor,2,unknown/no_property,24,bank,own,1,2,1,0,1,0
253,0,24,delay_in_paying_off_in_the_past,furniture/equipment,4151,2,2,2,male_single,male,none,3,building_society_savings_agreement/life_insurance,35,none,own,2,2,1,0,1,1
254,2,9,existing_credits_paid_back_duly_till_now,furniture/equipment,2030,0,3,2,male_single,male,none,1,car_or_other,24,none,own,1,2,1,1,1,1
255,2,60,delay_in_paying_off_in_the_past,radio/television,7418,0,2,1,male_single,male,none,1,real_estate,27,none,own,1,1,1,0,1,1
256,0,24,critical_account/other_credits_existing_not_at_this_bank,radio/television,2684,1,2,4,male_single,male,none,2,real_estate,35,none,own,2,1,1,0,1,1
257,1,12,all_credits_at_this_bank_paid_back_duly,radio/television,2149,1,2,4,male_divorced/separated,male,none,1,unknown/no_property,29,none,for free,1,2,1,0,1,0
258,0,15,existing_credits_paid_back_duly_till_now,car_(used),3812,2,1,1,female_divorced/separated/married,female,none,4,car_or_other,23,none,own,1,2,1,1,1,1
259,0,11,critical_account/other_credits_existing_not_at_this_bank,radio/television,1154,2,0,4,female_divorced/separated/married,female,none,4,real_estate,57,none,own,3,1,1,0,1,1
260,1,12,existing_credits_paid_back_duly_till_now,furniture/equipment,1657,1,2,2,male_single,male,none,2,real_estate,27,none,own,1,2,1,0,1,1
261,1,24,existing_credits_paid_back_duly_till_now,radio/television,1603,1,4,4,female_divorced/separated/married,female,none,4,car_or_other,55,none,own,1,2,1,0,1,1
262,1,18,critical_account/other_credits_existing_not_at_this_bank,car_(new),5302,1,4,2,male_single,male,none,4,unknown/no_property,36,none,for free,3,3,1,1,1,1
263,0,12,critical_account/other_credits_existing_not_at_this_bank,education,2748,1,4,2,female_divorced/separated/married,female,none,4,unknown/no_property,57,bank,for free,3,1,1,0,1,1
264,0,10,critical_account/other_credits_existing_not_at_this_bank,car_(new),1231,1,4,3,male_single,male,none,4,real_estate,32,none,own,2,1,2,0,0,1
265,2,15,existing_credits_paid_back_duly_till_now,radio/television,802,1,4,4,male_single,male,none,3,car_or_other,37,none,own,1,2,2,0,1,0
266,0,36,critical_account/other_credits_existing_not_at_this_bank,business,6304,0,4,4,male_single,male,none,4,real_estate,36,none,own,2,2,1,0,1,1
267,0,24,existing_credits_paid_back_duly_till_now,radio/television,1533,1,1,4,female_divorced/separated/married,female,none,3,car_or_other,38,stores,own,1,2,1,1,1,1
268,1,14,existing_credits_paid_back_duly_till_now,car_(new),8978,1,4,1,male_divorced/separated,male,none,4,building_society_savings_agreement/life_insurance,45,none,own,1,3,1,1,0,0
269,0,24,existing_credits_paid_back_duly_till_now,radio/television,999,0,4,4,male_single,male,none,2,car_or_other,25,none,own,2,2,1,0,1,1
270,0,18,existing_credits_paid_back_duly_till_now,car_(new),2662,0,3,4,male_single,male,none,3,building_society_savings_agreement/life_insurance,32,none,own,1,2,1,0,0,1
271,0,12,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,1402,3,3,3,female_divorced/separated/married,female,none,4,car_or_other,37,none,rent,1,2,1,1,1,1
272,2,48,all_credits_at_this_bank_paid_back_duly,car_(new),12169,0,0,4,male_single,male,co-applicant,4,unknown/no_property,36,none,for free,1,3,1,1,1,1
273,2,48,existing_credits_paid_back_duly_till_now,radio/television,3060,1,3,4,male_single,male,none,4,real_estate,28,none,own,2,2,1,0,1,0
274,1,30,existing_credits_paid_back_duly_till_now,repairs,11998,1,1,1,male_divorced/separated,male,none,1,unknown/no_property,34,none,own,1,1,1,1,1,0
275,0,9,existing_credits_paid_back_duly_till_now,radio/television,2697,1,2,1,male_single,male,none,2,real_estate,32,none,own,1,2,2,0,1,1
276,0,18,critical_account/other_credits_existing_not_at_this_bank,radio/television,2404,1,2,2,female_divorced/separated/married,female,none,2,car_or_other,26,none,own,2,2,1,0,1,1
277,1,12,existing_credits_paid_back_duly_till_now,furniture/equipment,1262,0,4,2,male_divorced/separated,male,none,4,building_society_savings_agreement/life_insurance,49,none,own,1,1,1,1,1,1
278,0,6,existing_credits_paid_back_duly_till_now,furniture/equipment,4611,1,1,1,female_divorced/separated/married,female,none,4,building_society_savings_agreement/life_insurance,32,none,own,1,2,1,0,1,0
279,0,24,existing_credits_paid_back_duly_till_now,radio/television,1901,2,2,4,male_single,male,none,4,car_or_other,29,none,rent,1,3,1,1,1,1
280,0,15,critical_account/other_credits_existing_not_at_this_bank,car_(used),3368,4,4,3,male_single,male,none,4,unknown/no_property,23,none,rent,2,2,1,1,1,1
281,0,12,existing_credits_paid_back_duly_till_now,furniture/equipment,1574,1,2,4,male_single,male,none,2,real_estate,50,none,own,1,2,1,0,1,1
282,3,18,all_credits_at_this_bank_paid_back_duly,radio/television,1445,0,3,4,male_single,male,none,4,car_or_other,49,bank,own,1,1,1,0,1,1
283,0,15,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,1520,0,4,4,male_single,male,none,4,building_society_savings_agreement/life_insurance,63,none,own,1,2,1,0,1,1
284,2,24,critical_account/other_credits_existing_not_at_this_bank,car_(new),3878,2,1,4,male_divorced/separated,male,none,2,car_or_other,37,none,own,1,2,1,1,1,1
285,1,47,existing_credits_paid_back_duly_till_now,car_(new),10722,1,1,1,female_divorced/separated/married,female,none,1,real_estate,35,none,own,1,1,1,1,1,1
286,1,48,existing_credits_paid_back_duly_till_now,car_(used),4788,1,3,4,male_single,male,none,3,building_society_savings_agreement/life_insurance,26,none,own,1,2,2,0,1,1
287,2,48,delay_in_paying_off_in_the_past,others,7582,2,0,2,male_single,male,none,4,unknown/no_property,31,none,for free,1,3,1,1,1,1
288,2,12,existing_credits_paid_back_duly_till_now,radio/television,1092,1,2,4,female_divorced/separated/married,female,guarantor,4,real_estate,49,none,own,2,2,1,1,1,1
289,1,24,delay_in_paying_off_in_the_past,radio/television,1024,1,1,4,male_married/widowed,male,none,4,real_estate,48,stores,own,1,2,1,0,1,0
290,0,12,existing_credits_paid_back_duly_till_now,business,1076,1,2,2,male_married/widowed,male,none,2,real_estate,26,none,own,1,2,1,1,0,1
291,2,36,existing_credits_paid_back_duly_till_now,car_(used),9398,1,1,1,male_married/widowed,male,none,4,car_or_other,28,none,rent,1,3,1,1,1,0
292,1,24,critical_account/other_credits_existing_not_at_this_bank,car_(used),6419,1,4,2,female_divorced/separated/married,female,none,4,unknown/no_property,44,none,for free,2,3,2,1,1,1
293,3,42,critical_account/other_credits_existing_not_at_this_bank,car_(used),4796,1,4,4,male_single,male,none,4,unknown/no_property,56,none,for free,1,2,1,0,1,1
294,0,48,critical_account/other_credits_existing_not_at_this_bank,business,7629,0,4,4,male_divorced/separated,male,none,2,car_or_other,46,bank,own,2,3,2,0,1,1
295,2,48,existing_credits_paid_back_duly_till_now,furniture/equipment,9960,1,1,1,female_divorced/separated/married,female,none,2,car_or_other,26,none,own,1,2,1,1,1,0
296,0,12,existing_credits_paid_back_duly_till_now,car_(used),4675,0,1,1,female_divorced/separated/married,female,none,4,car_or_other,20,none,rent,1,2,1,0,1,1
297,0,10,existing_credits_paid_back_duly_till_now,car_(new),1287,0,4,4,male_single,male,co-applicant,2,building_society_savings_agreement/life_insurance,45,none,own,1,1,1,0,0,1
298,0,18,existing_credits_paid_back_duly_till_now,furniture/equipment,2515,1,2,3,male_single,male,none,4,real_estate,43,none,own,1,2,1,1,1,1
299,2,21,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,2745,4,3,3,male_single,male,none,2,car_or_other,32,none,own,2,2,1,1,1,1
300,0,6,existing_credits_paid_back_duly_till_now,car_(new),672,1,0,1,female_divorced/separated/married,female,none,4,real_estate,54,none,own,1,0,1,1,1,1
301,2,36,no_credits_taken/all_credits_paid_back_duly,radio/television,3804,1,2,4,female_divorced/separated/married,female,none,1,car_or_other,42,none,own,1,2,1,1,1,0
302,3,24,critical_account/other_credits_existing_not_at_this_bank,car_(new),1344,0,3,4,male_single,male,none,2,real_estate,37,bank,own,2,1,2,0,1,0
303,1,10,critical_account/other_credits_existing_not_at_this_bank,car_(new),1038,1,3,4,male_single,male,co-applicant,3,building_society_savings_agreement/life_insurance,49,none,own,2,2,1,1,1,1
304,0,48,critical_account/other_credits_existing_not_at_this_bank,car_(new),10127,3,2,2,male_single,male,none,2,unknown/no_property,44,bank,for free,1,2,1,0,1,0
305,0,6,existing_credits_paid_back_duly_till_now,furniture/equipment,1543,4,2,4,male_divorced/separated,male,none,2,real_estate,33,none,own,1,2,1,0,1,1
306,0,30,existing_credits_paid_back_duly_till_now,car_(used),4811,0,3,2,female_divorced/separated/married,female,none,4,building_society_savings_agreement/life_insurance,24,stores,rent,1,1,1,0,1,1
307,1,12,existing_credits_paid_back_duly_till_now,radio/television,727,2,1,4,male_married/widowed,male,none,3,unknown/no_property,33,none,own,1,1,1,1,1,0
308,2,8,existing_credits_paid_back_duly_till_now,furniture/equipment,1237,1,2,3,female_divorced/separated/married,female,none,4,real_estate,24,none,own,1,2,1,0,1,0
309,2,9,existing_credits_paid_back_duly_till_now,car_(new),276,1,2,4,male_married/widowed,male,none,4,real_estate,22,none,rent,1,1,1,0,1,1
310,2,48,existing_credits_paid_back_duly_till_now,others,5381,0,0,3,male_single,male,none,4,unknown/no_property,40,bank,for free,1,0,1,1,1,1
311,0,24,existing_credits_paid_back_duly_till_now,furniture/equipment,5511,2,2,4,male_single,male,none,1,car_or_other,25,stores,own,1,2,1,0,1,1
312,3,24,existing_credits_paid_back_duly_till_now,furniture/equipment,3749,1,1,2,female_divorced/separated/married,female,none,4,car_or_other,26,none,own,1,2,1,0,1,1
313,2,12,existing_credits_paid_back_duly_till_now,car_(new),685,1,3,2,male_married/widowed,male,none,3,car_or_other,25,bank,own,1,1,1,0,1,0
314,3,4,existing_credits_paid_back_duly_till_now,car_(new),1494,0,1,1,male_single,male,none,2,real_estate,29,none,own,1,1,2,0,0,1
315,1,36,all_credits_at_this_bank_paid_back_duly,furniture/equipment,2746,1,4,4,male_single,male,none,4,car_or_other,31,bank,own,1,2,1,0,1,0
316,1,12,existing_credits_paid_back_duly_till_now,furniture/equipment,708,1,2,2,male_single,male,guarantor,3,building_society_savings_agreement/life_insurance,38,none,own,1,1,2,0,1,1
317,2,24,existing_credits_paid_back_duly_till_now,furniture/equipment,4351,0,2,1,female_divorced/separated/married,female,none,4,building_society_savings_agreement/life_insurance,48,none,own,1,1,1,1,1,1
318,0,12,critical_account/other_credits_existing_not_at_this_bank,education,701,1,2,4,male_single,male,none,2,car_or_other,32,none,own,2,2,1,0,1,1
319,1,15,delay_in_paying_off_in_the_past,furniture/equipment,3643,1,4,1,female_divorced/separated/married,female,none,4,building_society_savings_agreement/life_insurance,27,none,own,2,1,1,0,1,1
320,2,30,critical_account/other_credits_existing_not_at_this_bank,car_(new),4249,1,0,4,male_married/widowed,male,none,2,car_or_other,28,none,own,2,3,1,0,1,0
321,1,24,existing_credits_paid_back_duly_till_now,radio/television,1938,1,1,4,male_divorced/separated,male,none,3,building_society_savings_agreement/life_insurance,32,none,own,1,2,1,0,1,0
322,1,24,existing_credits_paid_back_duly_till_now,car_(used),2910,1,3,2,male_single,male,none,1,unknown/no_property,34,none,for free,1,3,1,1,1,1
323,1,18,existing_credits_paid_back_duly_till_now,furniture/equipment,2659,4,2,4,male_single,male,none,2,car_or_other,28,none,own,1,2,1,0,1,1
324,0,18,critical_account/other_credits_existing_not_at_this_bank,car_(new),1028,1,2,4,female_divorced/separated/married,female,none,3,real_estate,36,none,own,2,2,1,0,1,1
325,1,8,critical_account/other_credits_existing_not_at_this_bank,car_(new),3398,1,3,1,male_single,male,none,4,real_estate,39,none,own,2,1,1,0,0,1
326,0,12,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,5801,0,4,2,male_single,male,none,4,building_society_savings_agreement/life_insurance,49,none,rent,1,2,1,1,1,1
327,0,24,existing_credits_paid_back_duly_till_now,car_(new),1525,4,3,4,female_divorced/separated/married,female,none,3,car_or_other,34,none,own,1,2,2,1,1,1
328,3,36,existing_credits_paid_back_duly_till_now,radio/television,4473,1,4,4,male_single,male,none,2,car_or_other,31,none,own,1,2,1,0,1,1
329,2,6,existing_credits_paid_back_duly_till_now,radio/television,1068,1,4,4,male_single,male,none,4,car_or_other,28,none,own,1,2,2,0,1,1
330,1,24,critical_account/other_credits_existing_not_at_this_bank,car_(used),6615,1,0,2,male_single,male,none,4,unknown/no_property,75,none,for free,2,3,1,1,1,1
331,0,18,critical_account/other_credits_existing_not_at_this_bank,education,1864,2,2,4,female_divorced/separated/married,female,none,2,real_estate,30,none,own,2,2,1,0,1,0
332,2,60,existing_credits_paid_back_duly_till_now,car_(new),7408,2,1,4,female_divorced/separated/married,female,none,2,building_society_savings_agreement/life_insurance,24,none,own,1,3,1,0,1,0
333,0,48,critical_account/other_credits_existing_not_at_this_bank,car_(used),11590,2,2,2,female_divorced/separated/married,female,none,4,car_or_other,24,bank,rent,2,1,1,0,1,0
334,1,24,no_credits_taken/all_credits_paid_back_duly,furniture/equipment,4110,1,4,3,male_single,male,none,4,unknown/no_property,23,bank,rent,2,2,2,0,1,0
335,1,6,critical_account/other_credits_existing_not_at_this_bank,furniture/equipment,3384,1,2,1,male_divorced/separated,male,none,4,real_estate,44,none,rent,1,3,1,1,1,0
336,2,13,existing_credits_paid_back_duly_till_now,radio/television,2101,1,1,2,female_divorced/separated/married,female,guarantor,4,building_society_savings_agreement/life_insurance,23,none,own,1,1,1,0,1,1
337,1,15,existing_credits_paid_back_duly_till_now,domestic_appliances,1275,0,2,4,female_divorced/separated/married,female,none,2,car_or_other,24,none,rent,1,2,1,0,1,0
338,1,24,existing_credits_paid_back_duly_till_now,furniture/equipment,4169,1,2,4,male_single,male,none,4,building_society_savings_agreement/life_insurance,28,none,own,1,2,1,0,1,1
339,2,10,existing_credits_paid_back_duly_till_now,furniture/equipment,1521,1,2,4,male_divorced/separated,male,none,2,car_or_other,31,none,own,1,1,1,0,1,1
340,2,24,critical_account/other_credits_existing_not_at_this_bank,education,5743,1,1,2,female_divorced/separated/married,female,none,4,unknown/no_property,24,none,for free,2,2,1,1,1,1
341,1,21,existing_credits_paid_back_duly_till_now,furniture/equipment,3599,1,3,1,female_divorced/separated/married,female,none,4,car_or_other,26,none,rent,1,1,1,0,1,1
342,2,18,existing_credits_paid_back_duly_till_now,radio/television,3213,3,1,1,male_married/widowed,male,none,3,real_estate,25,none,rent,1,2,1,0,1,1
343,2,18,existing_credits_paid_back_duly_till_now,business,4439,1,4,1,male_single,male,co-applicant,1,real_estate,33,bank,own,1,3,1,1,1,1
344,3,10,existing_credits_paid_back_duly_till_now,car_(new),3949,1,1,1,male_single,male,guarantor,1,building_society_savings_agreement/life_insurance,37,none,own,1,1,2,0,1,1
345,0,15,critical_account/other_credits_existing_not_at_this_bank,radio/television,1459,1,2,4,female_divorced/separated/married,female,none,2,car_or_other,43,none,own,1,1,1,0,1,1
