idx,default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,income_perc,sex,marriage,other_debtors,present_res_since,property,age,other_installment_plans,housing,credits_this_bank,job,people_under_maintenance,telephone,foreign_worker,rank_svm_saw
119,1,< 0 DM,33,critical account/ other credits existing (not at this bank),radio/television,4281,500 <= ... < 1000 DM ,1 <= ... < 4 years,1,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",23,none,own,2,skilled employee / official,1,none,yes,
120,0,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),2366,500 <= ... < 1000 DM ,4 <= ... < 7 years,3,male , divorced/separated,none,3,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
121,1,< 0 DM,21,existing credits paid back duly till now,domestic appliances,1835,... < 100 DM,1 <= ... < 4 years,3,female , divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
122,0,no checking account,24,critical account/ other credits existing (not at this bank),car (used),3868,... < 100 DM,.. >= 7 years,4,female , divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",41,none,rent,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
123,0,no checking account,12,existing credits paid back duly till now,radio/television,1768,... < 100 DM,1 <= ... < 4 years,3,male , single,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,
124,0,>= 200 DM / salary assignments for at least 1 year,10,critical account/ other credits existing (not at this bank),car (new),781,... < 100 DM,.. >= 7 years,4,male , single,none,4,unknown / no property,63,none,for free,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
125,1,0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1924,unknown/ no savings account,... < 1 year ,4,female , divorced/separated/married,none,3,real estate,27,none,rent,1,skilled employee / official,1,none,yes,
126,0,< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2121,... < 100 DM,1 <= ... < 4 years,4,male , single,none,2,if not A121 : building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,none,yes,
127,0,< 0 DM,12,existing credits paid back duly till now,domestic appliances,701,... < 100 DM,1 <= ... < 4 years,4,male , married/widowed,none,2,real estate,40,none,own,1,unskilled - resident,1,none,yes,
128,1,0 <= ... < 200 DM,12,existing credits paid back duly till now,education,639,... < 100 DM,1 <= ... < 4 years,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes,
129,0,0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1860,... < 100 DM,unemployed,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
130,1,< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),3499,... < 100 DM,1 <= ... < 4 years,3,female , divorced/separated/married,co-applicant,2,real estate,29,none,own,2,skilled employee / official,1,none,yes,
131,0,0 <= ... < 200 DM,48,existing credits paid back duly till now,car (new),8487,unknown/ no savings account,4 <= ... < 7 years,1,female , divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes,
132,1,< 0 DM,36,delay in paying off in the past,(vacation - does not exist?),6887,... < 100 DM,1 <= ... < 4 years,4,male , single,none,3,if not A121 : building society savings agreement/ life insurance,29,stores,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
133,0,no checking account,15,existing credits paid back duly till now,radio/television,2708,... < 100 DM,... < 1 year ,2,male , single,none,3,if not A121 : building society savings agreement/ life insurance,27,bank,own,2,unskilled - resident,1,none,yes,
134,0,no checking account,18,existing credits paid back duly till now,radio/television,1984,... < 100 DM,1 <= ... < 4 years,4,male , single,none,4,unknown / no property,47,bank,for free,2,skilled employee / official,1,none,yes,
135,0,no checking account,60,existing credits paid back duly till now,domestic appliances,10144,100 <= ... < 500 DM,4 <= ... < 7 years,2,female , divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
136,0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,1240,unknown/ no savings account,.. >= 7 years,4,female , divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
137,0,no checking account,27,delay in paying off in the past,car (used),8613,.. >= 1000 DM ,1 <= ... < 4 years,2,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,2,skilled employee / official,1,none,yes,
138,1,0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,766,500 <= ... < 1000 DM ,1 <= ... < 4 years,4,male , single,none,3,real estate,66,none,own,1,unskilled - resident,1,none,yes,
139,0,0 <= ... < 200 DM,15,critical account/ other credits existing (not at this bank),domestic appliances,2728,unknown/ no savings account,4 <= ... < 7 years,4,male , single,guarantor,2,real estate,35,bank,own,3,skilled employee / official,1,"yes, registered under the customers name ",yes,
140,0,>= 200 DM / salary assignments for at least 1 year,12,existing credits paid back duly till now,domestic appliances,1881,... < 100 DM,1 <= ... < 4 years,2,female , divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",44,none,rent,1,unskilled - resident,1,"yes, registered under the customers name ",yes,
141,0,>= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,car (new),709,.. >= 1000 DM ,... < 1 year ,2,male , married/widowed,none,2,real estate,27,none,own,1,unemployed/ unskilled - non-resident,1,none,no,
142,0,0 <= ... < 200 DM,36,existing credits paid back duly till now,domestic appliances,4795,... < 100 DM,... < 1 year ,4,female , divorced/separated/married,none,1,unknown / no property,30,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
143,0,< 0 DM,27,existing credits paid back duly till now,domestic appliances,3416,... < 100 DM,1 <= ... < 4 years,3,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",27,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,none,yes,
144,1,< 0 DM,18,existing credits paid back duly till now,radio/television,2462,... < 100 DM,1 <= ... < 4 years,2,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,none,yes,
145,0,no checking account,21,critical account/ other credits existing (not at this bank),radio/television,2288,... < 100 DM,... < 1 year ,4,female , divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
146,0,0 <= ... < 200 DM,48,all credits at this bank paid back duly,business,3566,100 <= ... < 500 DM,4 <= ... < 7 years,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",30,none,own,1,skilled employee / official,1,none,yes,
147,0,< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),860,... < 100 DM,.. >= 7 years,1,female , divorced/separated/married,none,4,unknown / no property,39,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
148,0,no checking account,12,critical account/ other credits existing (not at this bank),car (new),682,100 <= ... < 500 DM,4 <= ... < 7 years,4,female , divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",51,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
149,0,< 0 DM,36,critical account/ other credits existing (not at this bank),radio/television,5371,... < 100 DM,1 <= ... < 4 years,3,male , single,guarantor,2,if not A121 : building society savings agreement/ life insurance,28,none,own,2,skilled employee / official,1,none,yes,
150,0,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,1582,.. >= 1000 DM ,.. >= 7 years,4,male , single,none,4,"if not A121/A122 : car or other, not in attribute 6",46,none,own,2,skilled employee / official,1,none,yes,
151,0,no checking account,6,existing credits paid back duly till now,domestic appliances,1346,100 <= ... < 500 DM,.. >= 7 years,2,male , single,none,4,unknown / no property,42,bank,for free,1,skilled employee / official,2,"yes, registered under the customers name ",yes,
152,0,no checking account,10,existing credits paid back duly till now,domestic appliances,1924,... < 100 DM,1 <= ... < 4 years,1,male , single,none,4,if not A121 : building society savings agreement/ life insurance,38,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",no,
153,0,>= 200 DM / salary assignments for at least 1 year,36,existing credits paid back duly till now,domestic appliances,5848,... < 100 DM,1 <= ... < 4 years,4,male , single,none,1,"if not A121/A122 : car or other, not in attribute 6",24,none,own,1,skilled employee / official,1,none,yes,
154,0,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),car (used),7758,.. >= 1000 DM ,.. >= 7 years,2,female , divorced/separated/married,none,4,unknown / no property,29,none,rent,1,skilled employee / official,1,none,yes,
155,0,0 <= ... < 200 DM,24,delay in paying off in the past,business,6967,100 <= ... < 500 DM,4 <= ... < 7 years,4,male , single,none,4,"if not A121/A122 : car or other, not in attribute 6",36,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
156,1,< 0 DM,12,existing credits paid back duly till now,radio/television,1282,... < 100 DM,1 <= ... < 4 years,2,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1,none,yes,
157,0,< 0 DM,9,critical account/ other credits existing (not at this bank),education,1288,100 <= ... < 500 DM,.. >= 7 years,3,male , single,guarantor,4,real estate,48,none,own,2,skilled employee / official,2,none,no,
158,0,< 0 DM,12,all credits at this bank paid back duly,retraining,339,... < 100 DM,.. >= 7 years,4,male , married/widowed,none,1,"if not A121/A122 : car or other, not in attribute 6",45,bank,own,1,unskilled - resident,1,none,yes,
159,0,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),3512,100 <= ... < 500 DM,4 <= ... < 7 years,2,male , single,none,3,"if not A121/A122 : car or other, not in attribute 6",38,bank,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
160,0,no checking account,6,critical account/ other credits existing (not at this bank),domestic appliances,1898,unknown/ no savings account,1 <= ... < 4 years,1,male , single,none,2,real estate,34,none,own,2,unskilled - resident,2,none,yes,
161,0,no checking account,24,critical account/ other credits existing (not at this bank),domestic appliances,2872,100 <= ... < 500 DM,.. >= 7 years,3,male , single,none,4,real estate,36,none,own,1,skilled employee / official,2,"yes, registered under the customers name ",yes,
162,0,no checking account,18,critical account/ other credits existing (not at this bank),car (new),1055,... < 100 DM,... < 1 year ,4,female , divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,30,none,own,2,skilled employee / official,1,none,yes,
163,0,no checking account,15,existing credits paid back duly till now,repairs,1262,500 <= ... < 1000 DM ,4 <= ... < 7 years,4,male , single,none,3,if not A121 : building society savings agreement/ life insurance,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
164,0,0 <= ... < 200 DM,10,existing credits paid back duly till now,car (new),7308,... < 100 DM,unemployed,2,male , single,none,4,unknown / no property,70,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
165,0,no checking account,36,existing credits paid back duly till now,car (new),909,500 <= ... < 1000 DM ,.. >= 7 years,4,male , single,none,4,if not A121 : building society savings agreement/ life insurance,36,none,own,1,skilled employee / official,1,none,yes,
166,0,no checking account,6,existing credits paid back duly till now,radio/television,2978,500 <= ... < 1000 DM ,1 <= ... < 4 years,1,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",32,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
167,1,< 0 DM,18,existing credits paid back duly till now,radio/television,1131,... < 100 DM,unemployed,4,female , divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",33,none,own,1,skilled employee / official,1,none,yes,
168,0,0 <= ... < 200 DM,11,existing credits paid back duly till now,radio/television,1577,.. >= 1000 DM ,... < 1 year ,4,female , divorced/separated/married,none,1,real estate,20,none,own,1,skilled employee / official,1,none,yes,
169,0,no checking account,24,existing credits paid back duly till now,radio/television,3972,... < 100 DM,4 <= ... < 7 years,2,female , divorced/separated/married,none,4,if not A121 : building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
170,1,0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),business,1935,... < 100 DM,.. >= 7 years,4,male , divorced/separated,none,4,real estate,31,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
171,1,< 0 DM,15,no credits taken/ all credits paid back duly,car (new),950,... < 100 DM,.. >= 7 years,4,male , single,none,3,"if not A121/A122 : car or other, not in attribute 6",33,none,rent,2,skilled employee / official,2,none,yes,
172,0,no checking account,12,existing credits paid back duly till now,radio/television,763,... < 100 DM,1 <= ... < 4 years,4,female , divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
173,1,0 <= ... < 200 DM,24,delay in paying off in the past,radio/television,2064,... < 100 DM,unemployed,3,female , divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,34,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
174,0,0 <= ... < 200 DM,8,existing credits paid back duly till now,domestic appliances,1414,... < 100 DM,1 <= ... < 4 years,4,male , single,guarantor,2,real estate,33,none,own,1,skilled employee / official,1,none,no,
175,1,< 0 DM,21,delay in paying off in the past,(vacation - does not exist?),3414,... < 100 DM,... < 1 year ,2,male , single,none,1,if not A121 : building society savings agreement/ life insurance,26,none,own,2,skilled employee / official,1,none,yes,
176,1,no checking account,30,all credits at this bank paid back duly,car (used),7485,unknown/ no savings account,unemployed,4,female , divorced/separated/married,none,1,real estate,53,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
177,0,< 0 DM,12,existing credits paid back duly till now,radio/television,2577,... < 100 DM,1 <= ... < 4 years,2,male , divorced/separated,none,1,"if not A121/A122 : car or other, not in attribute 6",42,none,own,1,skilled employee / official,1,none,yes,
178,0,< 0 DM,6,critical account/ other credits existing (not at this bank),domestic appliances,338,500 <= ... < 1000 DM ,.. >= 7 years,4,male , single,none,4,"if not A121/A122 : car or other, not in attribute 6",52,none,own,2,skilled employee / official,1,none,yes,
179,0,no checking account,12,existing credits paid back duly till now,domestic appliances,1963,... < 100 DM,4 <= ... < 7 years,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",31,none,rent,2,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes,
180,0,< 0 DM,21,critical account/ other credits existing (not at this bank),car (new),571,... < 100 DM,.. >= 7 years,4,male , single,none,4,real estate,65,none,own,2,skilled employee / official,1,none,yes,
181,1,no checking account,36,delay in paying off in the past,business,9572,... < 100 DM,... < 1 year ,1,male , divorced/separated,none,1,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,none,yes,
182,1,0 <= ... < 200 DM,36,delay in paying off in the past,business,4455,... < 100 DM,1 <= ... < 4 years,2,male , divorced/separated,none,2,real estate,30,stores,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
183,1,< 0 DM,21,all credits at this bank paid back duly,car (new),1647,unknown/ no savings account,1 <= ... < 4 years,4,male , single,none,2,if not A121 : building society savings agreement/ life insurance,40,none,own,2,unskilled - resident,2,none,yes,
184,0,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,3777,.. >= 1000 DM ,1 <= ... < 4 years,4,male , single,none,4,real estate,50,none,own,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
185,1,0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),884,... < 100 DM,.. >= 7 years,4,male , single,none,4,"if not A121/A122 : car or other, not in attribute 6",36,bank,own,1,skilled employee / official,2,"yes, registered under the customers name ",yes,
186,0,no checking account,15,critical account/ other credits existing (not at this bank),domestic appliances,1360,... < 100 DM,1 <= ... < 4 years,4,male , single,none,2,if not A121 : building society savings agreement/ life insurance,31,none,own,2,skilled employee / official,1,none,yes,
187,1,0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (used),5129,... < 100 DM,.. >= 7 years,2,female , divorced/separated/married,none,4,unknown / no property,74,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,2,"yes, registered under the customers name ",yes,
188,0,0 <= ... < 200 DM,16,critical account/ other credits existing (not at this bank),car (new),1175,... < 100 DM,unemployed,2,male , single,none,3,"if not A121/A122 : car or other, not in attribute 6",68,none,for free,3,unemployed/ unskilled - non-resident,1,"yes, registered under the customers name ",yes,
189,1,< 0 DM,12,existing credits paid back duly till now,domestic appliances,674,100 <= ... < 500 DM,4 <= ... < 7 years,4,male , married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,20,none,own,1,skilled employee / official,1,none,yes,
190,0,0 <= ... < 200 DM,18,no credits taken/ all credits paid back duly,radio/television,3244,... < 100 DM,1 <= ... < 4 years,1,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",33,bank,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
191,1,no checking account,24,existing credits paid back duly till now,business,4591,.. >= 1000 DM ,1 <= ... < 4 years,2,male , single,none,3,if not A121 : building society savings agreement/ life insurance,54,none,own,3,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
192,1,0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,business,3844,100 <= ... < 500 DM,4 <= ... < 7 years,4,male , single,none,4,unknown / no property,34,none,for free,1,unskilled - resident,2,none,yes,
193,1,0 <= ... < 200 DM,27,existing credits paid back duly till now,business,3915,... < 100 DM,1 <= ... < 4 years,4,male , single,none,2,"if not A121/A122 : car or other, not in attribute 6",36,none,own,1,skilled employee / official,2,"yes, registered under the customers name ",yes,
194,0,no checking account,6,existing credits paid back duly till now,domestic appliances,2108,... < 100 DM,4 <= ... < 7 years,2,male , married/widowed,none,2,real estate,29,none,rent,1,skilled employee / official,1,none,yes,
195,1,0 <= ... < 200 DM,45,existing credits paid back duly till now,domestic appliances,3031,100 <= ... < 500 DM,1 <= ... < 4 years,4,male , single,guarantor,4,if not A121 : building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1,none,yes,
196,1,0 <= ... < 200 DM,9,critical account/ other credits existing (not at this bank),(vacation - does not exist?),1501,... < 100 DM,.. >= 7 years,2,female , divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",34,none,own,2,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
197,0,no checking account,6,critical account/ other credits existing (not at this bank),domestic appliances,1382,... < 100 DM,1 <= ... < 4 years,1,female , divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",28,none,own,2,skilled employee / official,1,"yes, registered under the customers name ",yes,
198,1,0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,951,100 <= ... < 500 DM,... < 1 year ,4,female , divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",27,bank,rent,4,skilled employee / official,1,none,yes,
199,0,0 <= ... < 200 DM,24,existing credits paid back duly till now,car (used),2760,unknown/ no savings account,.. >= 7 years,4,male , single,none,4,unknown / no property,36,bank,for free,1,skilled employee / official,1,"yes, registered under the customers name ",yes,
200,1,0 <= ... < 200 DM,18,delay in paying off in the past,radio/television,4297,... < 100 DM,.. >= 7 years,4,male , divorced/separated,none,3,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1,"yes, registered under the customers name ",yes,
